city,city_ibge_code,date,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Acarape,2300150,2022-03-27,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-26,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-25,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-24,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-23,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-22,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-21,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-20,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-19,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-18,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-17,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-16,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-15,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-14,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-13,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-12,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-11,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-10,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-09,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-08,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-07,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-06,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-05,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-04,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-03,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-02,2837,18868.05001,32,0,0
Acarape,2300150,2022-03-01,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-28,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-27,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-26,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-25,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-24,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-23,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-22,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-21,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-20,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-19,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-18,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-17,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-16,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-15,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-14,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-13,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-12,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-11,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-10,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-09,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-08,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-07,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-06,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-05,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-04,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-03,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-02,2837,18868.05001,32,0,0
Acarape,2300150,2022-02-01,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-31,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-30,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-29,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-28,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-27,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-26,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-25,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-24,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-23,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-22,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-21,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-20,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-19,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-18,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-17,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-16,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-15,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-14,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-13,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-12,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-11,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-10,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-09,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-08,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-07,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-06,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-05,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-04,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-03,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-02,2837,18868.05001,32,0,0
Acarape,2300150,2022-01-01,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-31,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-30,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-29,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-28,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-27,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-26,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-25,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-24,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-23,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-22,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-21,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-20,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-19,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-18,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-17,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-16,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-15,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-14,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-13,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-12,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-11,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-10,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-09,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-08,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-07,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-06,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-05,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-04,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-03,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-02,2837,18868.05001,32,0,0
Acarape,2300150,2021-12-01,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-30,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-29,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-28,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-27,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-26,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-25,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-24,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-23,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-22,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-21,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-20,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-19,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-18,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-17,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-16,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-15,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-14,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-13,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-12,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-11,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-10,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-09,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-08,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-07,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-06,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-05,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-04,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-03,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-02,2837,18868.05001,32,0,0
Acarape,2300150,2021-11-01,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-31,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-30,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-29,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-28,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-27,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-26,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-25,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-24,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-23,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-22,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-21,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-20,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-19,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-18,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-17,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-16,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-15,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-14,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-13,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-12,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-11,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-10,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-09,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-08,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-07,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-06,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-05,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-04,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-03,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-02,2837,18868.05001,32,0,0
Acarape,2300150,2021-10-01,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-30,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-29,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-28,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-27,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-26,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-25,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-24,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-23,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-22,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-21,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-20,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-19,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-18,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-17,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-15,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-14,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-13,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-12,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-11,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-10,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-09,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-08,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-07,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-06,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-05,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-04,2837,18868.05001,32,0,0
Acarape,2300150,2021-09-03,2837,18868.05001,32,1,0
Acarape,2300150,2021-09-02,2836,18861.39931,32,0,0
Acarape,2300150,2021-09-01,2836,18861.39931,32,0,0
Acarape,2300150,2021-08-31,2836,18861.39931,32,4,1
Acarape,2300150,2021-08-30,2832,18834.79649,31,0,0
Acarape,2300150,2021-08-29,2832,18834.79649,31,0,0
Acarape,2300150,2021-08-28,2832,18834.79649,31,0,0
Acarape,2300150,2021-08-27,2832,18834.79649,31,0,0
Acarape,2300150,2021-08-26,2832,18834.79649,31,4,0
Acarape,2300150,2021-08-25,2828,18808.19367,31,0,0
Acarape,2300150,2021-08-24,2828,18808.19367,31,11,0
Acarape,2300150,2021-08-23,2817,18735.03591,31,0,0
Acarape,2300150,2021-08-22,2817,18735.03591,31,0,0
Acarape,2300150,2021-08-21,2817,18735.03591,31,0,0
Acarape,2300150,2021-08-20,2817,18735.03591,31,0,0
Acarape,2300150,2021-08-19,2817,18735.03591,31,0,0
Acarape,2300150,2021-08-18,2817,18735.03591,31,0,0
