city,city_ibge_code,date,state,last_available_confirmed,last_available_deaths_per_100k_inhabitants,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_confirmed,new_deaths
Acarape,2300150,2022-12-02,CE,3402,237.78071,22470.27741,36,11,0
Apuiarés,2300903,2022-12-02,CE,1774,183.15018,12033.64537,27,10,0
Aquiraz,2301000,2022-12-02,CE,11542,128.70644,14147.90209,105,61,0
Aracoiaba,2301208,2022-12-02,CE,5580,146.61654,20977.44361,39,8,0
Aratuba,2301406,2022-12-02,CE,2213,119.05774,18819.62752,14,0,0
Barreira,2301950,2022-12-02,CE,2351,233.326,10349.98899,53,0,0
Baturité,2302107,2022-12-02,CE,5844,251.88917,16176.26706,91,12,0
Beberibe,2302206,2022-12-02,CE,10694,266.96124,19688.85207,145,8,0
Canindé,2302800,2022-12-02,CE,8586,296.83548,11080.99737,230,23,0
Capistrano,2302909,2022-12-02,CE,3166,213.12395,17756.59002,38,19,0
Caridade,2303006,2022-12-02,CE,1991,239.01612,8652.38364,55,1,0
Cascavel,2303501,2022-12-02,CE,12353,237.9446,16990.34468,173,81,0
Caucaia,2303709,2022-12-02,CE,34523,290.30842,9357.90609,1071,152,2
Chorozinho,2303956,2022-12-02,CE,2713,207.03934,13373.7553,42,3,0
Choró,2303931,2022-12-02,CE,1709,132.27513,12558.78895,18,13,0
Eusébio,2304285,2022-12-02,CE,17688,265.28573,32139.54756,146,63,0
Fortaleza,2304400,2022-12-02,CE,398389,438.78226,14736.64002,11862,1058,-15
Guaiúba,2304954,2022-12-02,CE,2835,256.52633,10694.88456,68,29,0
Guaramiranga,2305100,2022-12-02,CE,1963,118.27321,38695.05224,6,3,0
Horizonte,2305233,2022-12-02,CE,11088,206.63529,15910.91723,144,40,0
Ibaretama,2305266,2022-12-02,CE,1605,231.60254,11991.03474,31,2,0
Ibicuitinga,2305332,2022-12-02,CE,2829,204.24195,22223.09505,26,7,0
Itaitinga,2306256,2022-12-02,CE,6197,209.51346,16029.07323,81,35,0
Itapiúna,2306504,2022-12-02,CE,2935,183.99264,14211.01051,38,6,0
Maracanaú,2307650,2022-12-02,CE,32656,371.01816,14137.65336,857,190,0
Maranguape,2307700,2022-12-02,CE,18249,225.55192,13858.91234,297,15,2
Morada Nova,2308708,2022-12-02,CE,11427,342.58808,18553.33658,211,4,0
Mulungu,2309102,2022-12-02,CE,1890,189.94211,17094.79016,21,20,0
Ocara,2309458,2022-12-02,CE,3424,181.06172,13190.53856,47,16,0
Pacajus,2309607,2022-12-02,CE,8787,175.33212,11851.10257,130,28,0
Pacatuba,2309706,2022-12-02,CE,10501,317.58264,12260.79139,272,104,1
Pacoti,2309805,2022-12-02,CE,1813,235.52343,14724.27516,29,0,0
Palmácia,2310100,2022-12-02,CE,1452,169.70412,10713.49517,23,30,0
Paramoti,2310407,2022-12-02,CE,1475,154.77354,12015.31443,19,11,0
Pentecoste,2310704,2022-12-02,CE,4430,249.7043,11644.10566,95,2,0
Pindoretama,2310852,2022-12-02,CE,4494,205.11353,21436.74871,43,2,0
Quixadá,2311306,2022-12-02,CE,15048,241.84749,16927.07455,215,71,0
Redenção,2311603,2022-12-02,CE,7607,400.16417,26017.51146,117,19,0
